2025-04-01	Clothes	164282386.62
2025-04-01	Books	163298077.18
2025-04-01	Home	156054672.18
2025-04-01	Sport	145504314.69
2025-04-01	Electronics	145404510.47
2025-05-01	Books	3872734443.43
2025-05-01	Electronics	3848772042.34
2025-05-01	Home	3847894741.49
2025-05-01	Clothes	3846559366.42
2025-05-01	Sport	3809771383.18
2025-06-01	Clothes	3705187182.49
2025-06-01	Sport	3696055672.04
2025-06-01	Electronics	3681596417.38
2025-06-01	Books	3671687642.81
2025-06-01	Home	3637555516.17
2025-07-01	Sport	3874487853.46
2025-07-01	Clothes	3851481095.01
2025-07-01	Electronics	3830328359.84
2025-07-01	Home	3827652676.82
2025-07-01	Books	3789864412.36
2025-08-01	Books	3847955487.64
2025-08-01	Home	3838097221.69
2025-08-01	Clothes	3828363227.14
2025-08-01	Electronics	3808908534.29
2025-08-01	Sport	3766173246.06
2025-09-01	Books	3795655029.33
2025-09-01	Clothes	3766077626.06
2025-09-01	Electronics	3739701482.08
2025-09-01	Sport	3708837825.67
2025-09-01	Home	3646327430.22
2025-10-01	Home	3904173899.85
2025-10-01	Sport	3886712317.3
2025-10-01	Books	3882999007.57
2025-10-01	Clothes	3868822003.3
2025-10-01	Electronics	3801042090.77
2025-11-01	Sport	3710094288.43
2025-11-01	Electronics	3688680261.04
2025-11-01	Books	3686711443.9
2025-11-01	Home	3685150470.35
2025-11-01	Clothes	3670607866.8
2025-12-01	Home	3873508060.76
2025-12-01	Books	3855512434.6
2025-12-01	Electronics	3851788118.43
2025-12-01	Sport	3791217823.64
2025-12-01	Clothes	3788728345.96
2026-01-01	Electronics	3844890058.23
2026-01-01	Clothes	3829793832.19
2026-01-01	Home	3816669404.53
2026-01-01	Books	3787224909.55
2026-01-01	Sport	3709756059.65
2026-02-01	Electronics	3512406086.86
2026-02-01	Clothes	3470064414.76
2026-02-01	Books	3460203319.39
2026-02-01	Sport	3452602294.58
2026-02-01	Home	3441285873.24
2026-03-01	Sport	3891558798.62
2026-03-01	Home	3850187211.3
2026-03-01	Electronics	3821545135.57
2026-03-01	Clothes	3791078166.26
2026-03-01	Books	3787734860.11
2026-04-01	Electronics	3623132544.12
2026-04-01	Sport	3566908527.63
2026-04-01	Clothes	3553690185.3
2026-04-01	Books	3549408564.69
2026-04-01	Home	3532732696.75
